Gene(s)	circID	combo	predictor	geneID	no_parent_regressed	parent_regressed	delta_parent	no_parent_regressed_rank	parent_regressed_rank	Exon1	Exon2	Strand	SpliceType	molecule__cRNA	cis_trans__cRNA	mean_beta__cRNA	max_beta__cRNA	min_beta__cRNA	sd_beta__cRNA	lower_beta__cRNA	middle_beta__cRNA	upper_beta__cRNA	num_SNP_feature__cRNA	num_feature__cRNA	average_SNP_position__cRNA	SNP_chr__cRNA	molecule__mRNA	cis_trans__mRNA	mean_beta__mRNA	max_beta__mRNA	min_beta__mRNA	sd_beta__mRNA	lower_beta__mRNA	middle_beta__mRNA	upper_beta__mRNA	num_SNP_feature__mRNA	num_feature__mRNA	average_SNP_position__mRNA	SNP_chr__mRNA	common_or_uncommon	opposite_QTL_effect	mRNA	cRNA	trait	mRNA_mlog10_pval	cRNA_mlog10_pval	method	is_cRNA_coloc_greater
ABCC4	chr13:95813443-95822882	chr13:95813443-95822882_TcellRedefRatio_Th1_Th2_Ratio	TcellRedefRatio_Th1_Th2_Ratio	ABCC4	NA	0.0382326806581672	NA	NA	7	14	19	-	Exon-Exon	circle	cis	-0.268118143220828	0.381424899664586	-0.750957229116791	0.221254897324717	-0.36122077249392	-0.306230672993676	-0.260310119893416	157	6	95989463	13	linear	cis	-0.311178107000083	0.627993653291971	-1.14971805440361	0.367948207666198	-0.530358642538041	-0.352684263890029	-0.322665705104261	157	1	95987555	13	common	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95813443-95822882	chr13:95813443-95822882_TcellRedefRatio_Th1_Th2_Ratio	TcellRedefRatio_Th1_Th2_Ratio	ABCC4	NA	0.0382326806581672	NA	NA	7	14	19	-	Exon-Exon	circle	cis	0.744504004139823	1.49628987869898	-0.357003062925805	0.407956153707217	0.400740246591741	0.864848106303173	1.02570706363854	76	1	95877214.5	13	linear	cis	0.0128491274810476	1.23211681648328	-1.60330827963225	0.48292127906577	-0.339833466142339	0.293286583982899	0.33866883507255	106	1	95923785.5	13	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95886864-95900007	chr13:95886864-95900007_TcellRedefRatio_CD8_Treg_Ratio	TcellRedefRatio_CD8_Treg_Ratio	ABCC4	-0.0519956248579702	-0.0542852870447653	0.0022896621867951	2	2	2	4	-	Exon-Exon	circle	cis	-0.268118143220828	0.381424899664586	-0.750957229116791	0.221254897324717	-0.36122077249392	-0.306230672993676	-0.260310119893416	157	6	95989463	13	linear	cis	-0.311178107000083	0.627993653291971	-1.14971805440361	0.367948207666198	-0.530358642538041	-0.352684263890029	-0.322665705104261	157	1	95987555	13	common	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95886864-95900007	chr13:95886864-95900007_TcellRedefRatio_CD8_Treg_Ratio	TcellRedefRatio_CD8_Treg_Ratio	ABCC4	-0.0519956248579702	-0.0542852870447653	0.0022896621867951	2	2	2	4	-	Exon-Exon	circle	cis	0.744504004139823	1.49628987869898	-0.357003062925805	0.407956153707217	0.400740246591741	0.864848106303173	1.02570706363854	76	1	95877214.5	13	linear	cis	0.0128491274810476	1.23211681648328	-1.60330827963225	0.48292127906577	-0.339833466142339	0.293286583982899	0.33866883507255	106	1	95923785.5	13	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95768176-95840796	chr13:95768176-95840796_TcellRedefRatio_Th2CCR4pos_Th17CCR4pos_Ratio	TcellRedefRatio_Th2CCR4pos_Th17CCR4pos_Ratio	ABCC4	NA	-0.00892862800949429	NA	NA	11	10	20	-	Exon-Exon	circle	cis	-0.268118143220828	0.381424899664586	-0.750957229116791	0.221254897324717	-0.36122077249392	-0.306230672993676	-0.260310119893416	157	6	95989463	13	linear	cis	-0.311178107000083	0.627993653291971	-1.14971805440361	0.367948207666198	-0.530358642538041	-0.352684263890029	-0.322665705104261	157	1	95987555	13	common	no	NA	NA	NA	NA	NA	NA	NA
ABCC4	chr13:95768176-95840796	chr13:95768176-95840796_TcellRedefRatio_Th2CCR4pos_Th17CCR4pos_Ratio	TcellRedefRatio_Th2CCR4pos_Th17CCR4pos_Ratio	ABCC4	NA	-0.00892862800949429	NA	NA	11	10	20	-	Exon-Exon	circle	cis	0.744504004139823	1.49628987869898	-0.357003062925805	0.407956153707217	0.400740246591741	0.864848106303173	1.02570706363854	76	1	95877214.5	13	linear	cis	0.0128491274810476	1.23211681648328	-1.60330827963225	0.48292127906577	-0.339833466142339	0.293286583982899	0.33866883507255	106	1	95923785.5	13	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ABCG2	chr4:89052213-89061166	chr4:89052213-89061166_ImmunePanel_Basophils	ImmunePanel_Basophils	ABCG2	0.0366273609267934	0.038013599878295	-0.0013862389515016	2	5	2	5	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCG2	chr4:89028336-89036210	chr4:89028336-89036210_ImmunePanel_T_cells	ImmunePanel_T_cells	ABCG2	0.0469050234542642	0.0633588209370808	-0.0164537974828165	4	3	8	10	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD2	chr15:89656956-89659752	chr15:89656956-89659752_TcellRedef_Th1Th17	TcellRedef_Th1Th17	ABHD2	NA	0.0175706025866755	NA	NA	12	5	3	+	Exon-Exon	circle	cis	-0.256906509629307	-0.244409425353324	-0.26581941680982	0.00575759293015884	-0.261586266293989	-0.256420965492523	-0.254235911446035	29	1	89654197	15	linear	cis	-0.281479118440127	0.325171188748243	-0.71404072880317	0.21634577736054	-0.353262995863375	-0.346557898508466	-0.332518057628219	53	1	89614697	15	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ABHD2	chr15:89656956-89659752	chr15:89656956-89659752_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	ABHD2	0.0153722368702334	NA	NA	10	NA	5	3	+	Exon-Exon	circle	cis	-0.256906509629307	-0.244409425353324	-0.26581941680982	0.00575759293015884	-0.261586266293989	-0.256420965492523	-0.254235911446035	29	1	89654197	15	linear	cis	-0.281479118440127	0.325171188748243	-0.71404072880317	0.21634577736054	-0.353262995863375	-0.346557898508466	-0.332518057628219	53	1	89614697	15	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ABI1	chr10:27047991-27059274	chr10:27047991-27059274_TcellRedef_Memory_CD8	TcellRedef_Memory_CD8	ABI1	0.0580221330806328	0.0580221330806328	0	7	7	6	8	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC005154.6	chr7:30590252-30601744	chr7:30590252-30601744_ImmunePanel_T_cells	ImmunePanel_T_cells	AC005154.6	0.0703971017753352	0.0648567803691532	0.00554032140618201	7	7	2	2	-	Exon-Exon	circle	cis	0.337762815271151	0.390641857780494	0.268732958067198	0.0249291639429265	0.325809222304596	0.339047834411792	0.357576044883309	135	1	30602553	7	linear	cis	-0.674672340793639	-0.347677172923622	-0.970958560717244	0.165112353767513	-0.804042534925439	-0.67979640852007	-0.489919733725129	135	1	30602553	7	common	yes	0.3114524	0.8829322	InflammatoryBowelDisease	0.506608318176449	0.0540726444364577	SMR	no
AC114755.7	chr2:106987395-106987615	chr2:106987395-106987615_ImmCellRatio_Eosinophil_Basophil_Ratio	ImmCellRatio_Eosinophil_Basophil_Ratio	AC114755.7	-0.0206816491409934	-0.0153362034690045	-0.00534544567198889	15	15	2	2	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAP2	chr3:195101738-195112876	chr3:195101738-195112876_ImmunePanel_LymphoidCellsCombined	ImmunePanel_LymphoidCellsCombined	ACAP2	-0.104054086516354	-0.142180911871129	0.0381268253547746	10	4	2	4	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAP2	chr3:195047614-195066046	chr3:195047614-195066046_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	ACAP2	NA	0	NA	NA	85	5	3	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACVR2A	chr2:148653870-148657467	chr2:148653870-148657467_TcellRedefRatio_Th2_Th1Th17_Ratio	TcellRedefRatio_Th2_Th1Th17_Ratio	ACVR2A	-0.112037583539184	-0.105894941865604	-0.00614264167358018	5	7	2	4	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46137985	0.02424916	IBD	0.335941376492214	1.61530330092494	COLOC	yes
ACVR2A	chr2:148653870-148657467	chr2:148653870-148657467_TcellRedefRatio_Th2_Th1Th17_Ratio	TcellRedefRatio_Th2_Th1Th17_Ratio	ACVR2A	-0.112037583539184	-0.105894941865604	-0.00614264167358018	5	7	2	4	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22518091	0.01037513	UC	0.647468430130976	1.98400645288778	COLOC	yes
ACVR2A	chr2:148653870-148657467	chr2:148653870-148657467_TcellRedefRatio_Th2_Th1Th17_Ratio	TcellRedefRatio_Th2_Th1Th17_Ratio	ACVR2A	-0.112037583539184	-0.105894941865604	-0.00614264167358018	5	7	2	4	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.31629675	0.02144079	CD	0.499905270507033	1.66875921681882	COLOC	yes
ACYP2	chr2:54278095-54284497	chr2:54278095-54284497_TcellRedef_Th2	TcellRedef_Th2	ACYP2	0.0282340919218252	0.0282340919218252	0	20	20	3	4	+	Exon-Exon	circle	cis	-0.254808705437964	-0.243468878221419	-0.266148532654509	0.0160369374446055	-0.260478619046236	-0.254808705437964	-0.249138791829692	2	1	53866598.5	2	linear	cis	-0.304810950635509	-0.303534535608778	-0.306087365662239	0.00180512344201906	-0.305449158148874	-0.304810950635509	-0.304172743122143	2	1	53866598.5	2	common	no	NA	NA	NA	NA	NA	NA	NA
ACYP2	chr2:54278095-54284497	chr2:54278095-54284497_TcellRedef_Th2	TcellRedef_Th2	ACYP2	0.0282340919218252	0.0282340919218252	0	20	20	3	4	+	Exon-Exon	circle	cis	-0.336019487808069	-0.312300082840066	-0.355266236129858	0.0173317783876429	-0.349137791351326	-0.34429021105742	-0.321002150963244	7	1	54051490	2	linear	cis	-0.306343399915568	0.341817369098421	-0.534773919582356	0.0438815214172671	-0.317829765071212	-0.306395577253642	-0.288424513951522	451	1	54194431	2	uncommon	no	NA	NA	NA	NA	NA	NA	NA
ADAL	chr15:43627143-43628024	chr15:43627143-43628024_ImmunePanel_T_cells	ImmunePanel_T_cells	ADAL	NA	-0.0829885707015764	NA	NA	13	3	4	+	Exon-Exon	circle	cis	-0.263100836822987	-0.237196848320561	-0.307694640720919	0.0328316250349758	-0.288679784977694	-0.243957620497537	-0.237975289598224	5	1	43710676	15	linear	cis	-0.524291641622312	-0.438191247872672	-0.67167540162747	0.114504599474861	-0.625128783080116	-0.443621309872437	-0.442841465658867	5	1	43710676	15	common	no	NA	NA	NA	NA	NA	NA	NA
ADAL	chr15:43627143-43628024	chr15:43627143-43628024_TcellRedef_Th2	TcellRedef_Th2	ADAL	-0.0606055290795948	NA	NA	14	NA	3	4	+	Exon-Exon	circle	cis	-0.263100836822987	-0.237196848320561	-0.307694640720919	0.0328316250349758	-0.288679784977694	-0.243957620497537	-0.237975289598224	5	1	43710676	15	linear	cis	-0.524291641622312	-0.438191247872672	-0.67167540162747	0.114504599474861	-0.625128783080116	-0.443621309872437	-0.442841465658867	5	1	43710676	15	common	no	NA	NA	NA	NA	NA	NA	NA
ADIPOR2	chr12:1812052-1863680	chr12:1812052-1863680_ImmCellRatio_MonocytesCD14high_CD16high_Ratio	ImmCellRatio_MonocytesCD14high_CD16high_Ratio	ADIPOR2	-0.0613550915611424	-0.0591110062458211	-0.00224408531532134	8	10	2	2	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADIPOR2	chr12:1863424-1863680	chr12:1863424-1863680_ImmunePanel_T_cells	ImmunePanel_T_cells	ADIPOR2	-0.07409780248463	-0.069196939816889	-0.00490086266774098	9	9	2	2	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	chr4:87967318-87968746	chr4:87967318-87968746_IBD_severity_3levels.yMild_IBD	IBD_severity_3levels.yMild_IBD	AFF1	0.0528870287553543	0.044407683977116	0.00847934477823828	18	18	2	3	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	chr4:88005272-88012981	chr4:88005272-88012981_TcellRedef_Th17	TcellRedef_Th17	AFF1	-0.0828772998974748	-0.0892415338983055	0.00636423400083067	16	16	4	6	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	chr4:88005272-88016121	chr4:88005272-88016121_TcellRedefRatio_ActivatedCD4_ActivatedCD8_Ratio	TcellRedefRatio_ActivatedCD4_ActivatedCD8_Ratio	AFF1	-0.0474667064475159	-0.0516227529934977	0.00415604654598176	20	20	4	7	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF2	chrX:147733520-147744289	chrX:147733520-147744289_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	AFF2	0.0762376820784201	0.0672571698357896	0.00898051224263055	3	3	2	3	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF2	chrX:147743429-147744289	chrX:147743429-147744289_ImmunePanel_Neutrophils	ImmunePanel_Neutrophils	AFF2	NA	0.0722826091101853	NA	NA	3	3	3	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF2	chrX:147743429-147744289	chrX:147743429-147744289_ImmunePanel_T_cells	ImmunePanel_T_cells	AFF2	-0.0857153128164348	NA	NA	2	NA	3	3	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF4	chr5:132227856-132228810	chr5:132227856-132228810_ImmCellRatio_Myeloid_Lymphoid_Ratio	ImmCellRatio_Myeloid_Lymphoid_Ratio	AFF4	-0.0589602285028479	-0.0589602285028479	0	11	11	12	13	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFTPH	chr2:64800080-64812679	chr2:64800080-64812679_ImmCellRatio_T_NKcell_Ratio	ImmCellRatio_T_NKcell_Ratio	AFTPH	-0.0830227507871256	-0.0830227507871256	0	2	2	6	9	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGGF1	chr5:76342172-76344812	chr5:76342172-76344812_ImmCellRatio_T_Bcell_Ratio	ImmCellRatio_T_Bcell_Ratio	AGGF1	-0.0834088891304465	-0.076673315344285	-0.00673557378616149	15	15	6	8	+	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGO2	chr8:141595218-141595410	chr8:141595218-141595410_ImmCellRatio_Myeloid_Lymphoid_Ratio	ImmCellRatio_Myeloid_Lymphoid_Ratio	AGO2	0.0392990535721707	NA	NA	12	NA	2	2	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGO2	chr8:141582911-141595410	chr8:141582911-141595410_ImmunePanel_CD16hi_Monocytes	ImmunePanel_CD16hi_Monocytes	AGO2	0.0339470317415197	0.031835821916567	0.00211120982495269	4	7	2	3	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGO2	chr8:141595218-141595410	chr8:141595218-141595410_ImmunePanel_CD14hi_Monocytes	ImmunePanel_CD14hi_Monocytes	AGO2	NA	0.0389207026830994	NA	NA	15	2	2	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGTPBP1	chr9:88292351-88327481	chr9:88292351-88327481_TcellRedef_Memory_CD8	TcellRedef_Memory_CD8	AGTPBP1	-0.0904524575147862	-0.0859119499783803	-0.00454050753640592	7	7	2	3	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGTPBP1	chr9:88307604-88327481	chr9:88307604-88327481_IBD_severity_3levels.yMild_IBD	IBD_severity_3levels.yMild_IBD	AGTPBP1	-0.0567986850615893	-0.0715369850115694	0.0147382999499802	28	29	2	1	-	Exon-Exon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
